Intersection,Borough,score
Grand Concourse NB Mainline,Bronx,2.0
CORTELYOU AV,Staten Island,2.0
9 STREET,Brooklyn,2.0
EAST 187 STREET,Bronx,2.0
111 AV,Queens,2.0
FRESH MEADOW LANE,Queens,2.0
VARICK ST,Manhattan,2.0
3 Avenue,Manhattan,2.0
232 ST,Queens,2.0
FREEMAN ST,Bronx,2.0
145 ST BR,Manhattan,2.0
HARLEM RIVER DRIVE,Manhattan,2.0
RIDGEWOOD AV,Staten Island,2.0
PALO ALTO AV,Queens,2.0
St Johns Place,Brooklyn,2.0
HERKIMER ST,Brooklyn,2.0
Stephen Loop,Staten Island,2.0
Webster Avenue,Bronx,2.0
DRIGGS AV,Brooklyn,2.0
Austin Street,Queens,2.0
KINGS COLLEGE PL,Bronx,2.0
Gowanus Canal Shoreline,Brooklyn,2.0
84 Street,Brooklyn,2.0
Meeker Avenue,Brooklyn,2.0
Lefferts Avenue,Brooklyn,2.0
Norfolk Street,Brooklyn,2.0
TOMPKINS AV,Brooklyn,2.0
NASSAU AV,Brooklyn,2.0
POWERS ST,Brooklyn,2.0
MALCOLM X BOULEVARD,Brooklyn,2.0
BOWNE ST,Queens,2.0
12 AVENUE,Brooklyn,2.0
BEDFORD AVENUE,Brooklyn,2.0
Broadway Bridge,Manhattan,2.0
HUTCHINSON RIVER PARKWAY EAST,Bronx,2.0
LITTLE NECK PKWY NB & SB NORTH OF JERICHO TPKE,Queens,2.0
49 AVENUE,Queens,2.0
MIDDLETOWN RD,Bronx,2.0
30 AVENUE,Queens,2.0
EASTERN BLVD BRIDGE,Bronx,2.0
BARTOW AVE APPROACH TO CO OP CITY BLVD,Bronx,2.0
MAIN AVENUE,Queens,2.0
78 STREET,Queens,2.0
E 162 ST,Bronx,2.0
ELTON AVENUE,Bronx,2.0
LIVINGSTON STREET,Brooklyn,2.0
SHORE PARKWAY,Brooklyn,2.0
MACOMBS DAM BRIDGE,Bronx,2.0
LAFAYETTE ST,Manhattan,2.0
W BROADWAY,Manhattan,2.0
WEST 165 STREET,Manhattan,2.0
W 145 ST BR,Manhattan,2.0
EAST 34 STREET,Manhattan,2.0
REMSEN AVENUE,Brooklyn,2.0
MC DONALD AVENUE,Brooklyn,2.0
48 STREET,Queens,2.0
Woodhaven Blvd NB,Queens,2.0
193 STREET,Queens,2.0
CHRYSTIE STREET,Manhattan,2.0
Adam Clayton Powell Blvd SB,Manhattan,2.0
54 AVENUE,Queens,2.0
Galway Avenue,Queens,2.0
20 Avenue,Brooklyn,2.0
HEYWARD ST,Brooklyn,2.0
E 14 ST/UNIVERSITY PL,Manhattan,2.0
115 AV,Queens,2.0
159 Street,Queens,2.0
Marcy Ave and Nostrand Ave,Brooklyn,2.0
STANHOPE ST,Queens,2.0
LACONIA AV,Bronx,2.0
W 95 ST/HHP SB EXIT 11,Manhattan,2.0
HORACE HARDING EXPRESSWAY SR S,Queens,2.0
69 RD,Queens,2.0
53 ST,Brooklyn,2.0
54 ST,Brooklyn,2.0
FURMAN STREET,Brooklyn,2.0
19 AVENUE,Brooklyn,2.0
77 AV,Queens,2.0
UTOPIA PARKWAY,Queens,2.0
BARTOW AVE APPROACH TO ASCH LOOP,Bronx,2.0
CO OP CITY BLVD APPROACH TO BARTOW AVE,Bronx,2.0
58 AV,Queens,2.0
HOWARD AVENUE,Brooklyn,2.0
MACON ST,Brooklyn,2.0
LINDEN STREET,Brooklyn,2.0
BLEECKER STREET,Brooklyn,2.0
45 AV,Queens,2.0
CATON AVENUE,Brooklyn,2.0
ADAM C POWELL BOULEVARD,Manhattan,2.0
Parkside Ave and Woodruff Ave,Brooklyn,2.0
KNICKERBOCKER AV,Brooklyn,2.0
34 ST,Queens,2.0
Walton Avenue,Bronx,2.0
JUSTICE AV,Queens,2.0
GRAHAM AV,Brooklyn,2.0
PACIFIC STREET,Brooklyn,2.0
HOOVER AV,Queens,2.0
EAST 7 STREET,Brooklyn,2.0
CLOVE LAKE PL,Staten Island,2.0
111 AVENUE,Queens,2.0
HOR HARDING EXWY SR S,Queens,2.0
W/B EASTERN BLVD BRIDGE@BRONX RIVER AVE,Bronx,2.0
FLATBUSH AV,Brooklyn,2.0
WEST 225 STREET,Manhattan,2.0
4TH AVE APPROACHING PROSPECT AVE,Brooklyn,2.0
SHORE BOULEVARD,Brooklyn,2.0
CROTONA AV,Bronx,2.0
BQE,Manhattan,2.0
37 ST,Queens,2.0
LORIMER ST,Brooklyn,2.0
RODNEY STREET,Brooklyn,2.0
WASHINGTON ST,Manhattan,2.0
DRUMGOOLE ROAD WEST,Staten Island,2.0
JAMAICA AV,Queens,2.0
JERICHO TURNPIKE,Queens,2.0
CONSELYEA ST,Brooklyn,2.0
STRATFORD RD,Brooklyn,2.0
104 ST,Queens,2.0
112 ST,Queens,2.0
EMPIRE BLVD,Brooklyn,2.0
East 31 Street,Brooklyn,2.0
Johnson Avenue,Brooklyn,2.0
East 29 Street,Brooklyn,2.0
Brighton 10 Street,Brooklyn,2.0
139 Street,Queens,2.0
Atlantic Avenue,Queens,2.0
Schermerhorn St and State St,Brooklyn,2.0
7 Avenue,Manhattan,2.0
CARROLL ST,Brooklyn,2.0
STERLING AV,Staten Island,2.0
Pacific Street,Brooklyn,2.0
E 21 ST,Manhattan,2.0
RIVINGTON ST,Manhattan,2.0
UNION SQ W/BROADWAY,Manhattan,2.0
E 18 ST,Manhattan,2.0
E 79 ST,Manhattan,2.0
MADISON ST,Brooklyn,2.0
POPLAR ST,Bronx,2.0
113 ST,Queens,2.0
Avenue K,Brooklyn,2.0
E 60 ST/KOCH BR PEDESTRIAN AND BIKE PATH,Manhattan,2.0
HUDSON STREET,Manhattan,2.0
CENTRAL PARK WEST,Manhattan,2.0
WEST 59 STREET,Manhattan,2.0
WOOLLEY AV,Staten Island,2.0
F D R DR,Manhattan,2.0
188 STREET,Queens,2.0
TODT HILL RD,Staten Island,2.0
NEW DORP LANE,Staten Island,2.0
NEW DORP PLZ,Staten Island,2.0
43 STREET,Brooklyn,2.0
35 AV,Queens,2.0
W 56 ST,Manhattan,2.0
110 AV,Queens,2.0
Shore Pkwy North,Brooklyn,2.0
ALLERTON AVENUE,Bronx,2.0
FRONT ST,Manhattan,2.0
E 37 ST,Brooklyn,2.0
UNDERHILL AVENUE,Brooklyn,2.0
AVENUE L,Brooklyn,2.0
WEST 145 STREET,Manhattan,2.0
GLENWOOD ROAD,Brooklyn,2.0
ROCKAWAY BEACH BOULEVARD,Queens,2.0
AVENUE W,Brooklyn,2.0
FULTON STREET,Brooklyn,2.0
ROGERS AV,Brooklyn,2.0
HILLSIDE AVENUE,Queens,2.0
BEACH CHANNEL DR APPROACH TO BEACH 116TH ST,Queens,2.0
EAST DRIVE,Brooklyn,2.0
EAST 124 STREET,Manhattan,2.0
BEACH CHANNEL DR,Queens,2.0
CLOVE RD,Staten Island,2.0
BRIELLE AVENUE,Staten Island,2.0
FRED DOUGLASS BLVD,Manhattan,2.0
S/B 5TH AVE @ E 42ND ST,Manhattan,2.0
TARGEE STREET,Staten Island,2.0
JOE DIMAGGIO HIGHWAY,Manhattan,2.0
CPW 72 APPR,Manhattan,2.0
EMMONS AVENUE,Brooklyn,2.0
FOSTER AVENUE,Brooklyn,2.0
AVENUE O,Brooklyn,2.0
THROOP AVENUE,Brooklyn,2.0
OLD FULTON STREET,Brooklyn,2.0
EASTCHESTER ROAD,Bronx,2.0
BEACH 92 ST,Queens,2.0
ALBERT RD,Queens,2.0
AUSTIN STREET,Queens,2.0
107 STREET,Queens,2.0
BRIGHTON BEACH AVENUE,Brooklyn,2.0
MERRICK BLVD,Queens,2.0
EAST LAKE DRIVE,Brooklyn,2.0
TERRACE DRIVE,Manhattan,2.0
EAST 106 STREET,Manhattan,2.0
HUMBOLDT STREET,Brooklyn,2.0
EAST 168 STREET,Bronx,2.0
SHERIDAN EXWY,Bronx,2.0
Myrtle Ave EB Between,Brooklyn,2.0
Myrtle Ave WB Between,Brooklyn,2.0
HENRY STREET,Brooklyn,2.0
WALTHAM ST,Queens,2.0
WEST FORDHAM ROAD,Bronx,2.0
FORD ST,Brooklyn,2.0
FURMAN ST,Brooklyn,2.0
HALSEY STREET,Brooklyn,2.0
14 AV,Brooklyn,2.0
STORY AV,Bronx,2.0
MARATHON PKWY,Queens,2.0
AUSTIN ST,Queens,2.0
S ELLIOTT PL,Brooklyn,2.0
45 AVENUE,Queens,2.0
10 AVENUE,Manhattan,2.0
BAY PKWY APPROACH TO 83RD ST,Brooklyn,2.0
EAST 23 STREET,Manhattan,2.0
SEELEY STREET,Brooklyn,2.0
AVENUE B,Brooklyn,2.0
EASTCHESTER RD @ ALLERTON AVE,Bronx,2.0
48 AV,Queens,2.0
HOLLIS CT BLVD,Queens,2.0
YORK AV,Manhattan,2.0
MELROSE AV,Bronx,2.0
E 72 ST,Manhattan,2.0
10 AV,Brooklyn,2.0
RIDGE BLVD,Brooklyn,2.0
PARK DR E,Queens,2.0
CROSS IS PKWY,Queens,2.0
East 21 Street,Brooklyn,2.0
BATTERY PLACE,Manhattan,2.0
SCHENECTADY AV,Brooklyn,2.0
MYRTLE AV/WYCKOFF AV,Brooklyn,2.0
Pelham Parkway North,Bronx,2.0
S 4 ST,Brooklyn,2.0
